BindingDB Reactant_set_id,IC50 (nM)
255896,0.04
255898,0.06
50699036,0.06
29068,0.078
50659338,0.08
50399949,0.08
50659339,0.09
50861404,0.1
50221670,0.1
50399951,0.1
50399952,0.1
50325276,0.1
50221703,0.1
50221674,0.1
50861403,0.1
50861402,0.1
50865562,0.12
50221692,0.13
27915,0.13
50703254,0.13
50861288,0.13
50325296,0.14
50699035,0.16
50865577,0.16
50865576,0.2
50861291,0.2
50861294,0.2
51041884,0.2
254577,0.2
255893,0.2
30780,0.2
30781,0.2
50221666,0.2
50221671,0.2
50221700,0.2
50922917,0.22
50399950,0.25
50325317,0.26
50703253,0.26
50325303,0.27
50703249,0.27
50703251,0.28
50865579,0.3
51041883,0.3
50325305,0.3
254578,0.3
50221665,0.3
254569,0.3
50325300,0.31
51029099,0.33
50514080,3.3
50514093,3.3
50564498,3.3
50325320,3.32
50411636,3.4
50715604,3.4
50411656,3.5
50860683,3.5
254572,3.5
29674,3.5
29671,3.5
62491,3.5
50411628,3.5
37319,3.6
50269861,3.6
50860660,3.6
50411341,3.7
50319426,3.7
50341729,3.7
50514075,3.7
50860667,3.7
29676,3.75
50325287,3.75
50325290,3.8
50411652,3.8
50599666,3.9
50715602,3.9
50599954,3.9
50860665,3.9
50860664,3.9
51014788,3.98
50210013,4
50273170,4
37302,4
48152,4
30790,4
30797,4
29069,4
50210028,4
50273135,4
50359567,4
50430339,4
278476,4
278485,4
278492,4
51041959,4
254576,4
50945078,4
50952266,4
50970907,4
50291718,20000
50932038,20000
50932039,20000
50932056,20000
171931,2.01E+04
50721422,20400
50291666,21000
50741790,21000
50542651,21000
50291704,21000
50458187,21660
50947138,22000
50291701,22000
171953,2.22E+04
28659,22300
50291716,23000
171943,2.32E+04
28692,23600
171955,2.39E+04
23915,24000
50576240,24400
50387543,25000
50291667,25000
50453732,25000
50955618,25500
50955626,26700
171944,2.78E+04
171934,2.81E+04
50572033,28900
50947123,30000
50947135,30000
23916,30000
50273053,31000
171956,3.24E+04
171932,3.29E+04
50269457,32900
171945,3.32E+04
171946,3.36E+04
50955613,33600
51056837,35000
23919,35000
50216384,35000
50947131,36000
50955658,37300
50741799,38000
50620026,39160
171947,3.99E+04
50955653,40000
50909664,43000
23913,44000
50909678,50000
171948,5.00E+04
50620029,50800
50741815,51000
28638,51000
50273072,51000
171936,5.13E+04
50955662,52100
171937,5.24E+04
171951,5.25E+04
50741800,54000
50077244,54310
171957,5.44E+04
171959,5.46E+04
50073009,55000
171949,5.57E+04
50957188,60000
171958,6.14E+04
28640,64200
171935,6.59E+04
171940,6.76E+04
50909672,72000
50955657,78700
50955664,78800
50955621,81000
171950,8.71E+04
50955659,87200
51056849,92000
50955655,93600
50955660,100000
50589692,100000
50589695,100000
50589696,100000
50589701,100000
50908846,100000
50210025,100000
50947079,100000
50947126,100000
50947132,100000
50947133,100000
50947134,100000
50934113,100000
50741816,101000
23912,109000
50741821,113000
50401995,116000
23921,120000
50955651,123000
50280743,136000
50955663,158000
50741819,160000
23923,162000
50077239,165400
50955649,170000
23925,185000
50957190,197000
23914,200000
50955661,200000
50957187,252000
50741797,300000
50741801,479000
23920,720000
23911,1000000
23910,1300000
50922912,4
50867041,4
50816773,4
50865585,4
50866478,4
50866490,4
50699033,4
50646786,4
50633726,4
50650768,4
50600670,4
50616148,4
50633692,4
50589694,4
50610577,4
50610585,4
50564513,4
50564514,4
50638936,4
50638938,4
50514083,4
50514085,4
50571425,4
50564505,4.1
50411640,4.1
50715582,4.1
29635,4.1
50303204,4.2
30783,4.2
30793,4.2
50860678,4.2
50411647,4.2
50341731,4.3
29622,4.3
50303218,4.3
27919,4.3
50303200,4.4
50319420,4.4
50860679,4.4
50341719,4.5
50411631,4.5
50341734,4.5
50566522,4.5
50303198,4.5
50860681,4.5
50341728,4.6
50564492,4.6
29626,4.6
50936473,4.68
255918,4.7
50341720,4.7
50699030,4.7
29664,4.7
37332,4.7
51029081,4.7
50303215,4.7
50547788,4.8
50715599,4.8
50303207,4.8
50715609,4.9
50860658,4.9
50303205,4.9
50659360,4.9
50210031,5
50273137,5
50273171,5
56909,5
48137,5
48143,5
50124220,5
28191,5
29870,5
28693,5
29619,5
363425,5
50483018,5
412195,5
363377,5
363400,5
278459,5
278462,5
278474,5
278478,5
278491,5
278489,5
278493,5
51041954,5
51041955,5
51041956,5
51041958,5
50945079,5
50970894,5
50922931,5
50867064,5
50867065,5
50816793,5
50865583,5
50866495,5
50955721,5
50699038,5
50646767,5
50659358,5
50955679,5
50650798,5
50600672,5
50600676,5
50603958,5
50633686,5
50588203,5
50610573,5
50610583,5
50610586,5
50564493,5
50638932,5
50430344,5
50445514,5
50430356,5
50325686,5
50359531,5
50872717,5
50860666,5.1
254580,5.1
29632,5.1
50320640,5.1
50659350,5.2
255900,5.2
50325293,5.2
50131802,5.3
30784,5.3
50575134,5.3
50325307,5.3
50411658,5.4
29649,5.4
29662,5.5
50303213,5.5
50269862,5.5
37327,5.5
50411357,5.5
30792,5.6
254571,5.6
255920,5.6
50341730,5.6
255906,5.6
50320667,5.6
37334,5.6
50659349,5.6
29644,5.6
50269842,5.7
255921,5.7
50576238,5.8
29627,5.8
51029093,5.8
50221706,6
48153,6
48132,6
48142,6
50179023,6
30777,6
50482917,6
50482928,6
50482941,6
278470,6
278480,6
50121078,6
51041953,6
50922918,6
50860685,6
50857488,6
50861405,6
50865587,6
50866482,6
50866489,6
50706235,6
50646358,6
50646758,6
50646769,6
170918,6
50643962,6
50650769,6
50600678,6
50633719,6
50588174,6
50588197,6
50610584,6
50549319,6
50638935,6
50536372,6
50430351,6
50422078,6
50359454,6
50872721,6
50223076,6
50273191,6
50171136,6
50599655,6.1
50514092,6.1
50860677,6.1
29692,6.2
50564511,6.3
50715628,6.3
255892,6.3
51022219,6.31
50411365,6.4
50860680,6.4
50325281,6.4
254583,6.5
50341732,6.5
28677,6.5
50411347,6.5
50179035,6.6
29621,6.6
50643963,6.6
50936396,6.61
50320655,6.7
255899,6.7
50860671,6.7
365165,6.7
50936502,6.7
50659352,6.7
50325299,6.7
50325309,6.8
50575135,6.8
50242603,6.8
50269853,6.9
50715612,6.9
363419,7
363341,7
50221707,7
50221689,7
50273154,7
50325690,7
50359540,7
50610581,7
50610572,7
50610571,7
50633722,7
50603951,7
50600680,7
50650770,7
170920,7
50659357,7
50646765,7
50706436,7
50866479,7
50816750,7
50860662,7
50867054,7
50861307,7
50861299,7
51041952,7
51041951,7
278486,7
278484,7
363388,7
278468,7
278473,7
278477,7
50575129,7.1
50860669,7.1
254575,7.1
50599953,7.1
50411355,7.1
51029082,7.1
50325286,7.1
50320671,7.1
50860661,7.2
50715596,7.2
29637,7.2
50547792,7.2
50699021,7.4
50659351,7.4
50179052,7.4
50643964,7.4
255911,7.5
50699022,7.6
29657,7.6
37333,7.7
50564507,7.7
50325274,7.71
50514089,7.8
50547800,7.8
29685,7.8
50715608,7.8
50320635,7.9
363418,8
50482885,8
37318,8
37313,8
29875,8
48147,8
56910,8
29645,8
50223064,8
50288122,8
50273132,8
50223068,8
50222936,8
50222961,8
50610570,8
50600677,8
50600671,8
50650771,8
50955668,8
170912,8
50955715,8
50646770,8
50646768,8
50646763,8
50955723,8
50955718,8
50866494,8
50866472,8
50483017,8
363386,8
255917,8
51041950,8
255915,8
50971545,8
50922925,8
50715611,8
50713042,8
50320662,8.1
50325280,8.1
50124187,8.1
50320658,8.1
50936474,8.13
50269466,8.2
29641,8.3
50599653,8.4
50269855,8.4
50922908,8.5
50191672,8.5
50860673,8.5
50564494,8.5
50514081,8.5
50715592,8.5
50269584,8.5
255889,8.5
50325302,8.51
50319419,8.7
50267623,8.7
50320644,8.8
50860668,8.8
51029095,8.8
29661,8.8
29684,8.8
50575136,8.8
50936392,8.91
50124197,9
50269585,9
28225,9
50078715,9
51041949,9
255913,9
51029089,9
56901,9
50246715,9
50273129,9
50222971,9
50932106,9
50970908,9
50922923,9
50936485,9
50936495,9
29871,9
50865566,9
50866480,9
50866483,9
50703257,9
50699025,9
50646771,9
50483010,9
50603953,9
50633702,9
50607319,9
50549317,9
50549321,9
50638941,9
50872738,9
50445702,9
50359509,9
50359461,9
50320660,9.1
29687,9.1
29650,9.2
50922905,9.5
50191703,9.6
50659359,9.6
29617,9.6
50269465,9.6
29682,9.7
50715606,9.8
50860687,9.9
51029094,9.9
363416,10
37310,10
50121035,10
51041946,10
51041947,10
51041948,10
255891,10
255914,10
50945074,10
50970895,10
50970905,10
50970929,10
50922919,10
50867061,10
50816745,10
50866493,10
50706237,10
50659364,10
50955717,10
50955665,10
50955666,10
50955667,10
50650772,10
50650796,10
50599944,10
50603965,10
50633681,10
50610568,10
50607316,10
50571218,10
50566504,10
50564499,10
50564509,10
50556294,10
50541468,10
50430352,10
50422856,10
50411359,10
50872720,10
50282874,10
50282892,10
50282899,10
50282909,10
50282923,10
50282880,10
50282883,10
50282885,10
50325699,10
363372,10
30782,10
50124183,10
48150,10
48134,10
48141,10
50325275,10.5
50179025,10.7
50325323,0.38
50699034,0.4
29669,0.4
50221661,0.4
37314,0.4
29670,0.4
50325311,0.42
50325270,0.45
50703256,0.46
50703243,0.49
50703255,0.5
50865578,0.5
50861290,0.5
51041957,0.5
254565,0.5
